"Int_no";"Rue_1";"Rue_2";"X";"Y"
980;"Meese";"Notre-Dame";303877,;5051934,
981;"Notre-Dame";"6380 Est (Norco)";303355,;5048161,
982;"Notre-Dame";"6769 Est (Ordonnance)";303524,;5048435,
983;"Notre-Dame";"Ormeaux des";303837,;5051043,
984;"Notre-Dame";"Pierre-Bernard";303813,;5051411,
985;"Notre-Dame";"Saint-Donat";303912,;5050543,
986;"Notre-Dame";"Taillon";303833,;5051692,
987;"Honoré-Beaugrand";"La Fontaine";303812,;5049967,
988;"Honoré-Beaugrand";"Ontario";303509,;5050101,
989;"Honoré-Beaugrand";"Tellier";303311,;5050186,
990;"Gilbert-Barbier";"Maurice-Duplessis";297086,;5053950,
991;"Henri-Bourassa Est";"Renaude-Lapointe";297072,;5052660,
992;"Hôtel-de-Ville";"Viger";300321,;5041067,
993;"Langelier";"Michel-Bouvier";299878,;5049925,
994;"2 e Avenue";"Bellechasse";298054,;5045505,
995;"Rosaire du";"Saint-Hubert";295251,;5044991,
996;"6 e Avenue";"Beaubien";297873,;5045819,
997;"6 e Avenue";"Bélanger";297274,;5046079,
998;"6 e Avenue";"Bellechasse";298168,;5045692,
999;"8 e Avenue";"Jean-Talon";297048,;5046322,
1000;"Beaubien";"Iberville";297650,;5045455,
1001;"Beaubien";"Lorimier";297417,;5045073,
1002;"Beaubien";"Papineau";297251,;5044809,
1003;"Bélanger";"Iberville";297111,;5045813,
1004;"Bélanger";"Lorimier";296880,;5045423,
1005;"Bélanger";"Papineau";296714,;5045164,
1006;"Bellechasse";"Iberville";297914,;5045278,
1007;"Bellechasse";"Lorimier";297678,;5044896,
1008;"Bellechasse";"Papineau";297518,;5044634,
1009;"Carrières des";"Iberville";298176,;5045108,
1010;"Carrières des";"Lorimier";297917,;5044733,
1011;"Chabot";"Rosemont";297745,;5044659,
1012;"Crémazie";"Iberville inter. Sud";296032,;5046482,
1013;"Dandurand";"Iberville";298475,;5044928,
1014;"Everett";"Iberville";296651,;5046087,
1015;"Everett";"Lorimier";296374,;5045743,
1016;"Everett";"Papineau";296169,;5045512,
1017;"Holt";"Iberville";298301,;5045032,
1018;"Holt";"Lorimier";298046,;5044647,
1019;"Iberville";"Jarry";295917,;5046580,
1020;"Iberville";"Jean-Talon";296834,;5045972,
1021;"Iberville";"L.-O.-David";296471,;5046200,
1022;"Iberville";"Masson";298693,;5044795,
1023;"Iberville";"Rosemont";298065,;5045180,
1024;"Iberville";"Saint-Zotique";297382,;5045635,
1025;"Iberville";"Tillemont";296113,;5046429,
1026;"Iberville";"Villeray";296292,;5046315,
1027;"Jarry";"Lorimier";295670,;5046189,
1028;"26 e Avenue";"Henri-Bourassa Est";298629,;5054124,
1029;"Jarry";"Papineau";295507,;5045930,
1030;"Jean-Talon";"Lorimier";296602,;5045599,
1031;"Jean-Talon";"Papineau";296441,;5045342,
1032;"Jean-Talon";"Sagard";296673,;5045717,
1033;"L.-O.-David";"Papineau";295950,;5045651,
1034;"Lorimier";"Rosemont";297830,;5044795,
1035;"Lorimier";"Saint-Zotique";297148,;5045249,
1036;"Lorimier";"Tillemont";295886,;5046053,
1037;"Lorimier";"Villeray";296058,;5045943,
1038;"Henri-Bourassa";"800 Ouest, face au Loblaws";291051,;5044695,
1039;"Papineau";"Saint-Zotique";296985,;5044989,
1040;"Papineau";"Tillemont";295729,;5045791,
1041;"Papineau";"Villeray";295854,;5045713,
1042;"Beaubien";"Chateaubriand";296701,;5043950,
1043;"Beaubien";"Christophe-Colomb";296870,;5044215,
1044;"Beaubien";"Lanaudière";297076,;5044538,
1045;"Beaubien";"Normanville";296973,;5044378,
1046;"Beaubien";"Saint-Denis";296598,;5043790,
1047;"Beaubien";"Saint-Hubert";296750,;5044028,
1048;"Bélanger";"Châteaubriand";296159,;5044300,
1049;"Bélanger";"Christophe-Colomb";296331,;5044560,
1050;"Bélanger";"Drolet/Mozart";295989,;5044067,
1051;"Bélanger";"Lanaudière";296533,;5044879,
1052;"Bélanger";"Saint-Denis";296057,;5044142,
1053;"Bélanger";"Saint-Hubert";296210,;5044376,
1054;"Côte-des-Neiges";"Pins";297927,;5039611,
1055;"Bellechasse";"Christophe-Colomb";297116,;5044059,
1056;"Bellechasse";"Saint-Denis";296842,;5043633,
1057;"Bellechasse";"Saint-Hubert";296994,;5043870,
1058;"Berri";"Jarry";294739,;5044817,
1059;"Maurice-Duplessis";"face à Canadian Tire";297213,;5054035,
1060;"Castelnau";"Lajeunesse";295706,;5044493,
1061;"Castelnau";"Saint-Denis";295639,;5044365,
1062;"Castelnau";"Saint-Hubert";295806,;5044638,
1063;"Châteaubriand";"Faillon";295540,;5044713,
1064;"Châteaubriand";"Jean-Talon";295933,;5044449,
1065;"Châteaubriand";"Rosemont";297208,;5043620,
1066;"Châteaubriand";"Villeray";295310,;5044864,
1067;"Châteaubriand";"Saint-Zotique";296429,;5044124,
1068;"Christophe-Colomb";"Everett";295785,;5044906,
1069;"Christophe-Colomb";"Jarry";295063,;5045363,
1070;"Christophe-Colomb";"Jean-Talon";296052,;5044736,
1071;"Christophe-Colomb";"Rosemont";297381,;5043891,
1072;"Christophe-Colomb";"Saint-Zotique";296598,;5044388,
1073;"Christophe-Colomb";"Villeray";295465,;5045108,
1074;"Drolet";"Jarry";294678,;5044669,
1075;"Drolet";"Jean-Talon";295810,;5044193,
1076;"Faillon";"Lajeunesse";295468,;5044592,
1077;"Faillon";"Saint-Denis";295409,;5044461,
1078;"Faillon";"Saint-Hubert";295584,;5044783,
1079;"Foucher";"Jarry";294830,;5045002,
